timestamp,site_id,pv_forecast_kw,pv_actual_kw,load_kw,load_forecast_kw,battery_soc,battery_power_kw,battery_temperature,electricity_price,contract_capacity_kw,grid_import_kw,grid_export_kw,weather_condition,ghi,temperature,humidity,ems_mode,equipment_status,battery_soh,battery_cycle_count,battery_equivalent_cycle,battery_health_status,battery_is_second_life,battery_rated_capacity_kwh,battery_available_capacity_kwh
2026-03-01 00:00:00,site_enumsign01,0.0,0.0,19.78,19.4,70.0,10.0,31.5,2.73,100.0,39.78,0.0,cloudy,0.0,22.6,57.1,auto,normal,93.16,120,118.0,normal,False,50.0,45.0
2026-03-01 00:15:00,site_enumsign01,0.0,0.0,23.53,23.66,60.0,10.0,31.1,3.06,100.0,43.53,0.0,cloudy,0.0,21.8,63.7,auto,normal,93.49,120,118.01,normal,False,50.0,45.0
2026-03-01 00:30:00,site_enumsign01,0.0,0.0,21.14,21.56,60.0,-10.0,30.9,3.27,100.0,41.14,0.0,cloudy,0.0,22.6,45.5,auto,normal,92.76,120,118.02,normal,False,50.0,45.0
2026-03-01 00:45:00,site_enumsign01,0.0,0.0,21.14,20.2,70.0,-10.0,24.6,3.02,100.0,21.14,0.0,cloudy,0.0,22.8,47.7,auto,normal,93.13,120,118.03,normal,False,50.0,45.0
2026-03-01 01:00:00,site_enumsign01,0.0,0.0,20.56,19.71,80.0,0.0,25.0,2.71,100.0,20.56,0.0,cloudy,0.0,22.7,51.6,auto,normal,92.8,120,118.04,normal,False,50.0,45.0
2026-03-01 01:15:00,site_enumsign01,0.0,0.0,17.51,17.88,80.0,0.0,25.0,3.05,100.0,17.51,0.0,cloudy,0.0,21.6,48.3,auto,normal,92.85,120,118.05,totally_bogus,False,50.0,45.0
2026-03-01 01:30:00,site_enumsign01,0.0,0.0,20.21,19.89,80.0,0.0,25.0,2.99,100.0,20.21,0.0,cloudy,0.0,21.4,46.7,not_a_real_mode,normal,92.91,120,118.06,normal,False,50.0,45.0
2026-03-01 01:45:00,site_enumsign01,0.0,0.0,17.61,16.89,80.0,0.0,24.0,3.11,100.0,17.61,0.0,cloudy,0.0,21.2,46.6,auto,???,92.66,120,118.07,normal,False,50.0,45.0
2026-03-01 02:00:00,site_enumsign01,0.0,0.0,17.38,17.38,80.0,0.0,26.0,2.77,100.0,17.38,0.0,cloudy,0.0,21.4,56.5,auto,normal,92.78,120,118.08,normal,maybe,50.0,45.0
2026-03-01 02:15:00,site_enumsign01,0.0,0.0,22.0,21.1,80.0,0.0,26.0,3.1,100.0,22.0,0.0,cloudy,0.0,22.2,55.0,auto,normal,93.12,120,118.09,normal,False,50.0,45.0
2026-03-01 02:30:00,site_enumsign01,0.0,0.0,17.98,18.29,80.0,0.0,25.4,3.26,100.0,17.98,0.0,cloudy,0.0,21.6,47.2,auto,normal,93.25,120,118.1,normal,False,50.0,45.0
2026-03-01 02:45:00,site_enumsign01,0.0,0.0,21.62,20.72,80.0,0.0,24.4,2.83,100.0,21.62,0.0,cloudy,0.0,22.0,49.0,auto,normal,93.18,120,118.11,normal,False,50.0,45.0
2026-03-01 03:00:00,site_enumsign01,0.0,0.0,20.15,21.11,80.0,0.0,25.7,3.27,100.0,20.15,0.0,cloudy,0.0,22.8,48.8,auto,normal,93.41,120,118.12,normal,False,50.0,45.0
2026-03-01 03:15:00,site_enumsign01,0.0,0.0,20.81,21.48,80.0,0.0,24.5,3.06,100.0,20.81,0.0,cloudy,0.0,22.2,54.9,auto,normal,93.01,120,118.13,normal,False,50.0,45.0
2026-03-01 03:30:00,site_enumsign01,0.0,0.0,21.19,20.56,80.0,0.0,24.1,3.21,100.0,21.19,0.0,cloudy,0.0,21.9,55.2,auto,normal,93.2,120,118.14,normal,False,50.0,45.0
2026-03-01 03:45:00,site_enumsign01,0.0,0.0,19.55,18.87,80.0,0.0,24.4,2.82,100.0,19.55,0.0,cloudy,0.0,21.2,58.6,auto,normal,92.74,120,118.15,normal,False,50.0,45.0
2026-03-01 04:00:00,site_enumsign01,0.0,0.0,19.39,19.8,80.0,0.0,25.6,2.93,100.0,19.39,0.0,cloudy,0.0,22.3,58.6,auto,normal,92.54,120,118.16,normal,False,50.0,45.0
2026-03-01 04:15:00,site_enumsign01,0.0,0.0,23.36,22.74,80.0,0.0,25.7,3.22,100.0,23.36,0.0,cloudy,0.0,21.9,63.0,auto,normal,93.12,120,118.17,normal,False,50.0,45.0
2026-03-01 04:30:00,site_enumsign01,0.0,0.0,20.72,21.48,80.0,0.0,25.9,3.2,100.0,20.72,0.0,cloudy,0.0,21.3,52.9,auto,normal,92.52,120,118.18,normal,False,50.0,45.0
2026-03-01 04:45:00,site_enumsign01,0.0,0.0,21.11,21.64,80.0,0.0,25.6,3.05,100.0,21.11,0.0,cloudy,0.0,22.2,47.9,auto,normal,92.63,120,118.19,normal,False,50.0,45.0
