timestamp,site_id,pv_actual_kw,load_kw,battery_power_kw,electricity_price
2026-03-01 00:00:00,site_partial01,0.0,23.29,-7.68,2.74
2026-03-01 00:15:00,site_partial01,0.0,22.22,-7.89,3.03
2026-03-01 00:30:00,site_partial01,0.0,20.82,-8.02,2.78
2026-03-01 00:45:00,site_partial01,0.0,21.52,-7.69,2.94
2026-03-01 01:00:00,site_partial01,0.0,19.57,-7.97,2.76
2026-03-01 01:15:00,site_partial01,0.0,19.57,-7.66,3.06
2026-03-01 01:30:00,site_partial01,0.0,19.83,-8.29,2.76
2026-03-01 01:45:00,site_partial01,0.0,19.24,-8.45,2.72
2026-03-01 02:00:00,site_partial01,0.0,19.3,-8.23,2.89
2026-03-01 02:15:00,site_partial01,0.0,20.68,-8.08,3.0
2026-03-01 02:30:00,site_partial01,0.0,19.98,-8.0,2.83
2026-03-01 02:45:00,site_partial01,0.0,19.31,-7.57,2.82
2026-03-01 03:00:00,site_partial01,0.0,20.83,-8.43,2.75
2026-03-01 03:15:00,site_partial01,0.0,20.14,-8.25,3.07
2026-03-01 03:30:00,site_partial01,0.0,20.66,-7.77,2.84
2026-03-01 03:45:00,site_partial01,0.0,21.82,-7.56,2.81
2026-03-01 04:00:00,site_partial01,0.0,21.85,-8.28,2.76
2026-03-01 04:15:00,site_partial01,0.0,23.63,-8.39,2.78
2026-03-01 04:30:00,site_partial01,0.0,21.37,-7.74,3.19
2026-03-01 04:45:00,site_partial01,0.0,22.89,-7.71,2.74
2026-03-01 05:00:00,site_partial01,0.0,24.21,-7.77,2.74
2026-03-01 05:15:00,site_partial01,0.0,22.71,-7.57,2.96
2026-03-01 05:30:00,site_partial01,0.0,23.33,-8.38,2.97
2026-03-01 05:45:00,site_partial01,0.0,24.52,-7.84,2.73
2026-03-01 06:00:00,site_partial01,0.0,26.74,-7.81,3.0
2026-03-01 06:15:00,site_partial01,3.99,23.81,-7.8,2.71
2026-03-01 06:30:00,site_partial01,8.42,26.7,-7.6,2.85
2026-03-01 06:45:00,site_partial01,11.52,26.6,-8.48,2.78
2026-03-01 07:00:00,site_partial01,15.83,28.26,-7.54,2.85
2026-03-01 07:15:00,site_partial01,18.97,29.81,-7.95,3.24
2026-03-01 07:30:00,site_partial01,20.02,26.79,-8.33,2.72
2026-03-01 07:45:00,site_partial01,26.06,30.72,-7.92,3.0
2026-03-01 08:00:00,site_partial01,28.74,31.96,-0.3,5.06
2026-03-01 08:15:00,site_partial01,32.31,30.07,0.31,4.85
2026-03-01 08:30:00,site_partial01,30.67,32.21,0.28,4.86
2026-03-01 08:45:00,site_partial01,38.68,33.76,0.26,4.81
2026-03-01 09:00:00,site_partial01,40.26,32.65,0.24,5.01
2026-03-01 09:15:00,site_partial01,42.68,32.52,0.29,5.18
2026-03-01 09:30:00,site_partial01,45.14,35.81,-0.25,4.92
2026-03-01 09:45:00,site_partial01,44.01,34.17,-0.0,4.99
2026-03-01 10:00:00,site_partial01,43.3,34.41,0.45,5.25
2026-03-01 10:15:00,site_partial01,41.7,36.37,0.14,4.98
