timestamp,site_id,pv_forecast_kw,pv_actual_kw,load_kw,load_forecast_kw,battery_soc,battery_power_kw,battery_temperature,electricity_price,contract_capacity_kw,grid_import_kw,grid_export_kw,weather_condition,ghi,temperature,humidity,ems_mode,equipment_status,battery_soh,battery_cycle_count,battery_equivalent_cycle,battery_health_status,battery_is_second_life,battery_rated_capacity_kwh,battery_available_capacity_kwh
2026-03-01 00:00:00,site_001,0.0,0.0,20.95,21.02,50.0,-20.0,30.4,3.04,100.0,40.95,0.0,cloudy,0.0,21.7,55.1,auto,normal,92.86,120,118.0,normal,False,50.0,45.0
2026-03-01 00:15:00,site_001,0.0,0.0,21.74,21.54,60.0,-20.0,30.4,2.87,100.0,41.74,0.0,cloudy,0.0,22.4,47.0,auto,normal,92.75,120,118.01,normal,False,50.0,45.0
2026-03-01 00:30:00,site_001,0.0,0.0,22.57,22.33,70.0,-20.0,31.0,3.3,100.0,42.57,0.0,cloudy,0.0,22.2,58.5,auto,normal,93.49,120,118.02,normal,False,50.0,45.0
2026-03-01 00:45:00,site_001,0.0,0.0,21.47,20.63,80.0,0.0,24.6,2.77,100.0,21.47,0.0,cloudy,0.0,21.3,52.5,auto,normal,93.45,120,118.03,normal,False,50.0,45.0
2026-03-01 01:00:00,site_001,0.0,0.0,20.99,21.53,80.0,0.0,25.2,3.23,100.0,20.99,0.0,cloudy,0.0,22.3,56.7,auto,normal,93.07,120,118.04,normal,False,50.0,45.0
2026-03-01 01:15:00,site_001,0.0,0.0,22.16,22.43,80.0,0.0,25.9,3.08,100.0,22.16,0.0,cloudy,0.0,22.5,64.4,auto,normal,92.58,120,118.05,normal,False,50.0,45.0
2026-03-01 01:30:00,site_001,0.0,0.0,22.8,22.93,80.0,0.0,25.6,2.86,100.0,22.8,0.0,cloudy,0.0,21.9,57.2,auto,normal,92.72,120,118.06,normal,False,50.0,45.0
2026-03-01 01:45:00,site_001,0.0,0.0,22.42,22.0,80.0,0.0,24.2,3.05,100.0,22.42,0.0,cloudy,0.0,21.1,61.0,auto,normal,92.67,120,118.07,normal,False,50.0,45.0
2026-03-01 02:00:00,site_001,0.0,0.0,18.62,19.55,80.0,0.0,25.9,3.03,100.0,18.62,0.0,cloudy,0.0,22.6,45.1,auto,normal,92.79,120,118.08,normal,False,50.0,45.0
2026-03-01 02:15:00,site_001,0.0,0.0,17.75,18.16,80.0,0.0,24.8,2.71,100.0,17.75,0.0,cloudy,0.0,22.4,51.4,auto,normal,92.94,120,118.09,normal,False,50.0,45.0
